_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Zeiss ZE Milvus 100mm 2.0 Makro;100mm;1:2.0;67mm;1:2.00;0.44m;Canon EF;APS-C/ Kleinbild;843g;80.5x104mm;
Sigma Contemporary AF 17-70mm 2.8-4.0 DC Makro OS HSM;17-70mm;1:2.8-1:4.0;72mm;1:2.90;0.22m;Nikon F, Canon EF-S;APS-C;470g;79x82mm;
Zeiss ZE Distagon T* 25mm 2.0;25mm;1:2.0;67mm;1:5.88;0.25m;Canon EF;APS-C/ Kleinbild;600g;73x98mm;
Walimex Pro 12mm 2.8 Fisheye DSLR;12mm;1:2.8;;;0.20m;Sony A, Samsung NX, Pentax K, Micro-Four-Thirds, Canon EF-M;APS-C/ Kleinbild;565g;72x98mm;
Sigma Art AF 14mm 1.8 DG HSM;14mm;1:1.8;;1:9.80;0.27m;Nikon F, Sigma SA;APS-C/ Kleinbild;1170g;95.4x126mm;
Zeiss ZF.2 Milvus 85mm 1.4;85mm;1:1.4;77mm;1:8.30;0.80m;Nikon F;APS-C/ Kleinbild;1210g;90x110mm;
Canon TS-E 90mm 2.8 Tilt/Shift;90mm;1:2.8;58mm;1:6.25;0.50m;Canon EF;APS-C/ Kleinbild;565g;73.6x88mm;
Leica Vario-Elmar-T 18-56mm 3.5-5.6 ASPH;18-56mm;1:3.5-1:5.6;52mm;1:7.50;0.30m;Leica T;APS-C;256g;63x60mm;
Tamron SP AF 24-70mm 2.8 Di VC USD;24-70mm;1:2.8;82mm;1:5.00;0.38m;Canon EF;APS-C/ Kleinbild;825g;88.2x116.9mm;
Nikon AF-S VR 500mm 4.0E FL ED;500mm;1:4.0;40.5mm;1:6.70;3.60m;Nikon F;APS-C/ Kleinbild;3090g;140x387mm;
Sigma Contemporary AF 30mm 1.4 DC DN;30mm;1:1.4;52mm;1:7.00;0.30m;Sony E, Micro-Four-Thirds;APS-C;265g;64.8x73.3mm;
Nikon PC-E 24mm 3.5D ED Tilt/Shift;24mm;1:3.5;77mm;1:2.70;0.21m;Nikon F;APS-C/ Kleinbild;730g;82.5x108mm;
Canon EF 28-300mm 3.5-5.6 L IS USM;28-300mm;1:3.5-1:5.6;77mm;1:3.33;0.70m;Canon EF;APS-C/ Kleinbild;1670g;92x184mm;
Leica Makro-Elmar-M 90mm 4.0;90mm;1:4.0;39mm;1:6.70;0.77m;Leica M;APS-C/ Kleinbild;240g;52x59mm;
Canon EF 24-105mm 3.5-5.6 IS STM;24-105mm;1:3.5-1:5.6;77mm;1:3.33;0.40m;Canon EF;APS-C/ Kleinbild;525g;83.4x104mm;
Sigma AF 18-200mm 3.5-6.3 DC OS HSM;18-200mm;1:3.5-1:6.3;72mm;;0.45m;Nikon F;APS-C;610g;79x100mm;
Canon EF 50mm 1.8 II;50mm;1:1.8;52mm;1:6.67;0.45m;Canon EF;APS-C/ Kleinbild;130g;68.2x41mm;
Canon EF 24-70mm 4.0 L IS USM;24-70mm;1:4.0;77mm;1:1.43;0.38m;Canon EF;APS-C/ Kleinbild;600g;83.4x93mm;
Nikon AF-S VR 800mm 5.6 FL ED;800mm;1:5.6;52mm;1:6.7;5.90m;Nikon F;APS-C/ Kleinbild;4590g;160x461mm;
